ee_number,job_title,current_employment_status,project_code,original_hire_date,last_hire_date,los_in_days,termination_date,reason_code,left,fired,flsa_binary,Days_Since_Promotion,Days_Since_Demotion,Days_Since_Rehire,Days_Since_TransferIn,Days_Since_TransferOut,Days_Since_NewHire
307487,Laborer Renewables,T,55143,04/19/2023,04/19/2023,600,12/09/24,Lack of Work,0,0,1,NoEvent,NoEvent,NoEvent,64,NoEvent,622
307498,Laborer Renewables,A,55138,04/18/2023,02/13/2024,380,Unknown,Unknown,0,0,1,NoEvent,NoEvent,322,139,NoEvent,623
307498,Laborer Renewables,A,55138,04/18/2023,02/13/2024,380,Unknown,Unknown,0,0,1,NoEvent,NoEvent,322,15,NoEvent,623
307504,Laborer Renewables,T,55087,04/18/2023,04/18/2023,22,05/10/23,Discharge,0,1,1,NoEvent,NoEvent,NoEvent,NoEvent,NoEvent,623
307513,Laborer Renewables,T,55081,04/18/2023,04/18/2023,96,07/23/2023,Personal/Family,1,0,1,NoEvent,NoEvent,NoEvent,564,NoEvent,623
307515,Laborer Renewables,T,55117,04/20/2023,07/23/2024,43,09/04/24,Resignation,1,0,1,NoEvent,NoEvent,161,582,NoEvent,621
307531,Laborer Renewables,A,55123,04/18/2023,04/18/2023,681,Unknown,Unknown,0,0,1,519,NoEvent,NoEvent,456,NoEvent,623
307531,Laborer Renewables,A,55123,04/18/2023,04/18/2023,681,Unknown,Unknown,0,0,1,519,NoEvent,NoEvent,294,NoEvent,623
307531,Laborer Renewables,A,55123,04/18/2023,04/18/2023,681,Unknown,Unknown,0,0,1,519,NoEvent,NoEvent,15,NoEvent,623
307540,Intern,T,55076,05/22/2023,05/22/2023,81,08/11/23,Return to School,1,0,1,NoEvent,NoEvent,NoEvent,NoEvent,NoEvent,NoEvent
307209,Laborer Renewables,T,55081,04/11/23,04/11/23,199,10/27/2023,Lack of Work,0,0,1,456,NoEvent,NoEvent,560,NoEvent,630
307209,Laborer Renewables,T,55081,04/11/23,04/11/23,199,10/27/2023,Lack of Work,0,0,1,456,NoEvent,NoEvent,449,NoEvent,630
307230,Laborer Renewables,A,55123,04/11/23,01/29/2025,29,Unknown,Unknown,0,0,1,533,NoEvent,308,286,NoEvent,630
307230,Laborer Renewables,A,55123,04/11/23,01/29/2025,29,Unknown,Unknown,0,0,1,533,NoEvent,308,104,NoEvent,630
307230,Laborer Renewables,A,55123,04/11/23,01/29/2025,29,Unknown,Unknown,0,0,1,533,NoEvent,308,71,NoEvent,630
307230,Laborer Renewables,A,55123,04/11/23,01/29/2025,29,Unknown,Unknown,0,0,1,533,NoEvent,-29,286,NoEvent,630
307230,Laborer Renewables,A,55123,04/11/23,01/29/2025,29,Unknown,Unknown,0,0,1,533,NoEvent,-29,104,NoEvent,630
307230,Laborer Renewables,A,55123,04/11/23,01/29/2025,29,Unknown,Unknown,0,0,1,533,NoEvent,-29,71,NoEvent,630
307230,Laborer Renewables,A,55123,04/11/23,01/29/2025,29,Unknown,Unknown,0,0,1,491,NoEvent,308,286,NoEvent,630
307230,Laborer Renewables,A,55123,04/11/23,01/29/2025,29,Unknown,Unknown,0,0,1,491,NoEvent,308,104,NoEvent,630
307230,Laborer Renewables,A,55123,04/11/23,01/29/2025,29,Unknown,Unknown,0,0,1,491,NoEvent,308,71,NoEvent,630
307230,Laborer Renewables,A,55123,04/11/23,01/29/2025,29,Unknown,Unknown,0,0,1,491,NoEvent,-29,286,NoEvent,630
307230,Laborer Renewables,A,55123,04/11/23,01/29/2025,29,Unknown,Unknown,0,0,1,491,NoEvent,-29,104,NoEvent,630
307230,Laborer Renewables,A,55123,04/11/23,01/29/2025,29,Unknown,Unknown,0,0,1,491,NoEvent,-29,71,NoEvent,630
307246,Laborer Renewables,T,55090,04/11/23,04/11/23,71,06/21/2023,No Call-No Show,0,1,1,NoEvent,NoEvent,NoEvent,NoEvent,NoEvent,630
307277,Field Engineer,A,55137,05/22/2023,06/03/24,269,Unknown,Unknown,0,0,1,NoEvent,NoEvent,211,68,NoEvent,NoEvent
