EE #,FLSA Category,PR Dept,HireDate,Reason,Craft Class Code,Project Code
270860,Non-Exempt,4101,04/25/2019,New hire,,55062.0
284090,Non-Exempt,4101,04/27/2021,New hire,18-6-S612,
320317,Non-Exempt,4101,05/13/2024,New hire,18-4-A435,
321974,Non-Exempt,4101,06/17/2024,New hire,18-6-A625,
316703,Non-Exempt,4101,01/08/2024,New hire,18-6-A625,
324423,Non-Exempt,4101,07/10/2024,New hire,18-6-A625,
287650,Non-Exempt,4101,05/25/2021,New hire,18-6-S624,
274287,Non-Exempt,4101,06/08/2020,New hire,,55074.0
314804,Non-Exempt,4101,10/23/2023,New hire,18-4-S501,
295638,Exempt,4101,05/23/2022,New hire,18-1-S169,
303736,Exempt,4101,01/23/2023,New hire,18-4-S460,
248410,Non-Exempt,4101,04/16/2018,New hire,,
292507,Non-Exempt,4101,02/01/2022,New hire,18-6-A625,
291857,Exempt,4101,01/04/2022,New hire,18-6-S610,
274325,Non-Exempt,4101,06/22/2020,New hire,,55073.0
300914,Exempt,4102,11/01/2022,New hire,18-1-S109,
271135,Exempt,4102,06/27/2019,New hire,18-1-S010,
314961,Exempt,4102,10/23/2023,New hire,18-6-S612,
291401,Exempt,4102,11/29/2021,New hire,18-1-S145,
307826,Exempt,4102,05/23/2023,New hire,18-1-S109,
271377,Exempt,4102,08/12/2019,New hire,18-1-S010,
318942,Exempt,4103,04/15/2024,New hire,18-1-S135,
314389,Exempt,4103,10/23/2023,New hire,18-1-S185,
316524,Exempt,4103,04/29/2024,New hire,18-1-S135,
236247,Exempt,4103,01/02/2017,New hire,18-1-S133,
282049,Exempt,4103,04/13/2021,New hire,18-4-S420,
315306,Exempt,4103,11/06/2023,New hire,18-4-S208,
276592,Exempt,4103,01/05/2021,New hire,18-1-S205,
323278,Exempt,4103,07/15/2024,New hire,18-1-S135,
315476,Exempt,4103,11/06/2023,New hire,18-4-S208,
302183,Non-Exempt,4103,11/14/2022,New hire,18-6-A625,
274516,Exempt,4103,07/13/2020,New hire,18-6-S625,
314446,Exempt,4103,10/23/2023,New hire,18-1-S133,
329044,Exempt,4103,11/04/2024,New hire,18-1-S135,
316729,Exempt,4103,01/22/2024,New hire,18-4-S418,
293353,Exempt,4103,03/01/2022,New hire,18-4-S420,
324975,Exempt,4103,08/26/2024,New hire,18-4-S418,
302818,Exempt,4103,12/19/2022,New hire,18-4-S420,
203275,Non-Exempt,4103,02/20/2017,New hire,,
315936,Non-Exempt,4104,11/14/2023,New hire,18-73-1003,55094.0
323070,Non-Exempt,4104,06/18/2024,New hire,18-299-522,55117.0
319974,Non-Exempt,4104,04/24/2024,New hire,18-40-1003,55100.0
315523,Non-Exempt,4104,11/02/2023,New hire,18-47-400,55113.0
317687,Non-Exempt,4104,02/13/2024,New hire,18-47-500,55109.0
302013,Exempt,4104,11/07/2022,New hire,18-2-S230,55143.0
312623,Non-Exempt,4104,08/16/2023,New hire,18-708-500,55301.0
304954,Non-Exempt,4104,02/07/2023,New hire,18-40-1002,55123.0
319923,Non-Exempt,4104,04/11/2024,New hire,18-41-1002,55120.0
323784,Non-Exempt,4104,07/01/2024,New hire,18-745-100,55117.0
329017,Non-Exempt,4104,10/23/2024,New hire,18-47-102,55143.0
316572,Non-Exempt,4104,01/16/2024,New hire,18-5-5050,55089.0
295155,Non-Exempt,4104,04/20/2022,New hire,18-40-1001,55094.0
270505,Non-Exempt,4104,07/14/2022,New hire,18-40-1002,55085.0
306228,Non-Exempt,4104,03/16/2023,New hire,18-40-1001,55086.0
300886,Non-Exempt,4104,10/06/2022,New hire,18-40-1002,55086.0
302607,Non-Exempt,4104,11/14/2022,New hire,18-40-1002,55086.0
300485,Non-Exempt,4104,09/22/2022,New hire,18-64-1003,55086.0
324285,Non-Exempt,4104,07/16/2024,New hire,18-196-500,55723.0
321747,Non-Exempt,4104,05/22/2024,New hire,18-41-1002,55096.0
299383,Non-Exempt,4104,11/01/2022,New hire,18-30-1003,55087.0
289922,Non-Exempt,4104,12/14/2022,New hire,18-30-1003,55087.0
318169,Non-Exempt,4104,02/22/2024,New hire,18-40-1002,55094.0
295512,Non-Exempt,4104,05/02/2022,New hire,18-30-1002,55075.0
329259,Non-Exempt,4104,10/23/2024,New hire,18-745-100,55117.0
328501,Non-Exempt,4104,10/14/2024,New hire,18-47-102,55143.0
324392,Non-Exempt,4104,07/18/2024,New hire,18-40-1003,55123.0
302606,Non-Exempt,4104,11/14/2022,New hire,18-40-1002,55087.0
321640,Non-Exempt,4104,05/21/2024,New hire,18-30-1002,55313.0
328454,Non-Exempt,4104,10/14/2024,New hire,18-47-102,55143.0
322480,Non-Exempt,4104,06/11/2024,New hire,18-745-100,55117.0
304649,Non-Exempt,4104,01/26/2023,New hire,18-30-1002,55087.0
331019,Non-Exempt,4104,01/13/2025,New hire,18-5-5100,55102.0
302770,Non-Exempt,4104,11/15/2022,New hire,18-30-1002,55311.0
303190,Non-Exempt,4104,12/06/2022,New hire,18-8-1004,55089.0
304650,Non-Exempt,4104,01/26/2023,New hire,18-74-400,55109.0
304651,Non-Exempt,4104,01/26/2023,New hire,18-74-400,55109.0
308573,Non-Exempt,4104,05/16/2023,New hire,18-40-1001,55093.0
305987,Non-Exempt,4104,03/15/2023,New hire,18-47-401,55138.0
238209,Non-Exempt,4104,01/06/2022,New hire,18-8-1005,55120.0
303705,Non-Exempt,4104,12/21/2022,New hire,18-40-1002,55076.0
311371,Non-Exempt,4104,07/26/2023,New hire,18-40-1002,55122.0
